alpha,beta,r_value,p_value,amfi_code,scheme_name,fund_house
0.03747580763443281,-0.05826843143880891,-0.05162395469288772,0.08026442483699604,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
0.042817920315060876,0.0011582183155281404,0.003822674723520807,0.897012451516273,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund
0.2719535450128533,0.0051035258305283,0.0034736897724276,0.9063691402409381,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund
0.21399784776051212,0.02108631625012805,0.018656050039368616,0.5275509209180672,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF
0.10897091901704538,-0.06528924788351526,-0.032620626504671284,0.26923382859979944,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF
0.060861457957871144,0.00026670968338238303,0.00678794790574087,0.8182140691419656,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF
0.17048756803412696,-0.019486785689474546,-0.019566560947423522,0.5075948866942015,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund
0.028969397866379445,-0.04212502902189432,-0.029940431861761072,0.31057770814660457,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
0.16211256794033255,0.016682689437770803,0.013645206642938798,0.6440466770890058,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
0.21829397904608644,-0.00835383212696202,-0.007610358907520611,0.7966457465470186,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF
0.15643835948169668,-0.03663900671860935,-0.0337386235212468,0.25315678850632356,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
0.1750072167561127,0.10349663691337592,0.05284890312074911,0.07333892285784299,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF
0.1513635464823924,-0.0014335213897801293,-0.001423144721113363,0.9615666405413446,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF
0.05074772999976104,0.0012566742731558512,0.0040640684431161945,0.8905486864137586,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF
0.0689952982167755,0.009730745001153639,0.008990349099901948,0.7608083592013818,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
0.08232801295222093,0.02588321244009315,0.023857992560659562,0.4191212046285578,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
0.2607666908004223,-0.06626542862803757,-0.044009986786640046,0.1359875235249848,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund
0.04801595363775955,-0.06695117463929198,-0.03442614335717364,0.24360834209000373,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
0.05620895216638369,-0.006413850728276473,-0.02083891389137171,0.48038566300028684,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund
0.23201007160635082,-0.03175144113890974,-0.02978219078463306,0.31314302723084503,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund
0.1986859936686296,-0.026159307513513398,-0.024188471850332804,0.41270558180205436,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund
