cagr_3yr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense_inv,rank_maxdd_inv,fund_score,amfi_code,scheme_name,fund_house
0.33991970400445304,1.0682238272314737,0.2698375144191807,1.46,-11.265729075028275,97.5,100.0,85.0,45.0,82.5,86.25,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF
0.3176924285223732,0.8832556184698849,0.2926358334175106,1.36,-18.188513572116292,90.0,92.5,95.0,65.0,40.0,82.875,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF
0.2957511058901836,0.9655606517440107,0.27330465038306057,1.45,-12.97396816518679,85.0,97.5,90.0,47.5,70.0,82.0,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF
0.3243397122906222,0.8082678003905597,0.2719535450128533,1.38,-16.217208574644847,92.5,85.0,87.5,60.0,52.5,80.75,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund
0.32478927222623,0.7146822636441235,0.2119482701352573,0.8,-12.588275606922517,95.0,75.0,70.0,72.5,72.5,79.375,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF
0.35102527889035406,0.7305467735561725,0.2607666908004223,1.38,-20.960883862039193,100.0,80.0,80.0,60.0,32.5,78.25,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund
0.3044861306002782,0.8609773262277763,0.23201007160635082,1.54,-15.012385498645331,87.5,90.0,77.5,26.25,60.0,74.1875,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund
0.2917135767741186,0.9190465356358278,0.2827036785246582,1.6,-16.39674294693263,82.5,95.0,92.5,11.25,50.0,73.6875,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF
0.2666309129954312,0.7116901743847246,0.3033696538698332,1.43,-28.706005721764548,72.5,70.0,100.0,50.0,12.5,68.0,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund
0.28960211096593724,0.7174089959890172,0.21399784776051212,1.6,-11.291596329323072,80.0,77.5,72.5,11.25,80.0,67.5625,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF
0.2699350260734621,0.7144216579881023,0.3005787817097677,1.52,-31.171900300634213,77.5,72.5,97.5,36.25,10.0,67.3125,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund
0.26863103668817145,0.8328852279505957,0.26598577542043045,1.61,-17.24810575345138,75.0,87.5,82.5,7.5,47.5,66.75,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund
0.22646647456747715,0.7588510310771436,0.21829397904608644,1.51,-17.41407508665723,67.5,82.5,75.0,41.25,45.0,66.5625,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF
0.16263375081360643,0.6482414723266906,0.1986859936686296,0.66,-11.803493502764296,45.0,67.5,65.0,92.5,75.0,64.75,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund
0.18429918008610047,0.5062729716095955,0.17729754927531766,0.92,-15.200013055606398,55.00000000000001,57.49999999999999,62.5,67.5,57.49999999999999,59.25,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund
0.21084691029380598,0.3888288460001742,0.15643835948169668,0.72,-18.62974313859551,65.0,50.0,47.5,88.75,37.5,58.5625,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
0.2000321571698329,0.39318819691240553,0.1513635464823924,0.89,-11.650624505409091,60.0,52.5,45.0,70.0,77.5,58.375,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF
0.19662361245910964,0.5197971450361778,0.17048756803412696,1.57,-10.85986215250232,57.49999999999999,62.5,55.00000000000001,17.5,85.0,55.0,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund
